date,value,item,name
20181219,2506.96,level,SPX
20181220,2467.42,level,SPX
20181221,2416.62,level,SPX
20181224,2351.1,level,SPX
20181226,2467.7,level,SPX
20161228,3278.72,level,STOXX50E
20161229,3271.76,level,STOXX50E
20161230,3290.52,level,STOXX50E
20170102,3308.67,level,STOXX50E
20170103,3315.02,level,STOXX50E
20170104,3317.52,level,STOXX50E
20170105,3316.47,level,STOXX50E
20170106,3321.17,level,STOXX50E
20170109,3308.97,level,STOXX50E
20170110,3306.21,level,STOXX50E
20170111,3307.94,level,STOXX50E
20170112,3286.7,level,STOXX50E
20170113,3324.34,level,STOXX50E
20170116,3294.53,level,STOXX50E
20170117,3285.04,level,STOXX50E
20170118,3294.0,level,STOXX50E
20170119,3290.33,level,STOXX50E
20170120,3299.44,level,STOXX50E
20170123,3273.04,level,STOXX50E
20170124,3281.53,level,STOXX50E
20170125,3326.15,level,STOXX50E
20170126,3319.13,level,STOXX50E
20170127,3303.33,level,STOXX50E
20170130,3262.72,level,STOXX50E
20170131,3230.68,level,STOXX50E
20170201,3258.92,level,STOXX50E
20170202,3253.61,level,STOXX50E
20170203,3273.11,level,STOXX50E
20170206,3238.31,level,STOXX50E
20170207,3235.71,level,STOXX50E
20170208,3238.04,level,STOXX50E
20170209,3277.79,level,STOXX50E
20170210,3270.83,level,STOXX50E
20170213,3305.23,level,STOXX50E
20170214,3308.89,level,STOXX50E
20170215,3323.71,level,STOXX50E
20170216,3311.04,level,STOXX50E
20170217,3308.81,level,STOXX50E
20170220,3312.39,level,STOXX50E
20170221,3339.33,level,STOXX50E
20170222,3339.27,level,STOXX50E
20170223,3333.96,level,STOXX50E
20170224,3304.09,level,STOXX50E
20170227,3309.3,level,STOXX50E
20170228,3319.61,level,STOXX50E
20170301,3390.2,level,STOXX50E
20170302,3384.71,level,STOXX50E
20170303,3403.39,level,STOXX50E
20170306,3387.46,level,STOXX50E
20170307,3385.12,level,STOXX50E
20170308,3389.62,level,STOXX50E
20170309,3409.89,level,STOXX50E
20170310,3416.27,level,STOXX50E
20170313,3415.49,level,STOXX50E
20170314,3399.43,level,STOXX50E
20170315,3409.32,level,STOXX50E
20170316,3439.96,level,STOXX50E
20170317,3448.41,level,STOXX50E
20170320,3437.48,level,STOXX50E
20170321,3429.62,level,STOXX50E
20170322,3420.7,level,STOXX50E
20170323,3452.18,level,STOXX50E
20170324,3444.15,level,STOXX50E
