date,value,name
20180312,2783.02,SPX
20180313,2765.31,SPX
20180314,2749.48,SPX
20180315,2747.33,SPX
20180316,2752.01,SPX
20180319,2712.92,SPX
20180320,2716.94,SPX
20180321,2711.93,SPX
20180322,2643.69,SPX
20180323,2588.26,SPX
20180326,2658.55,SPX
20180327,2612.62,SPX
20180328,2605.0,SPX
20180329,2640.87,SPX
20180402,2581.88,SPX
20180403,2614.45,SPX
20180404,2644.69,SPX
20180405,2662.84,SPX
20180406,2604.47,SPX
20180409,2613.16,SPX
20180410,2656.87,SPX
20180411,2642.19,SPX
20180412,2663.99,SPX
20180413,2656.3,SPX
20180416,2677.84,SPX
20180417,2706.39,SPX
20180418,2708.64,SPX
20180419,2693.13,SPX
20180420,2670.14,SPX
20180423,2670.29,SPX
20180424,2634.56,SPX
20180425,2639.4,SPX
20180426,2666.94,SPX
20180427,2669.91,SPX
20180430,2648.05,SPX
20180501,2654.8,SPX
20180502,2635.67,SPX
20180503,2629.73,SPX
20180504,2663.42,SPX
20180507,2672.63,SPX
20180508,2671.92,SPX
20180509,2697.79,SPX
20180510,2723.07,SPX
20180511,2727.72,SPX
20180514,2730.13,SPX
20180515,2711.45,SPX
20180516,2722.46,SPX
20180517,2720.13,SPX
20180518,2712.97,SPX
20180521,2733.01,SPX
20180522,2724.44,SPX
20180523,2733.29,SPX
20180524,2727.76,SPX
20180525,2721.33,SPX
20180529,2689.86,SPX
20180530,2724.01,SPX
20180531,2705.27,SPX
20180601,2734.62,SPX
20180604,2746.87,SPX
20180605,2748.8,SPX
20180606,2772.35,SPX
20180607,2770.37,SPX
20180608,2779.03,SPX
20180611,2782.0,SPX
20180612,2786.85,SPX
20180613,2775.63,SPX
20180614,2782.49,SPX
20180615,2779.66,SPX
20180618,2773.75,SPX
20180619,2762.59,SPX
20180620,2767.32,SPX
20180621,2749.76,SPX
20180622,2754.88,SPX
20180625,2717.07,SPX
20180626,2723.06,SPX
20180627,2699.63,SPX
20180628,2716.31,SPX
20180629,2718.37,SPX
20180702,2726.71,SPX
20180703,2713.22,SPX
20180705,2736.61,SPX
20180706,2759.82,SPX
20180709,2784.17,SPX
20180710,2793.84,SPX
20180711,2774.02,SPX
20180712,2798.29,SPX
20180713,2801.31,SPX
20180716,2798.43,SPX
20180717,2809.55,SPX
20180718,2815.62,SPX
20180719,2804.49,SPX
20180720,2801.83,SPX
20180723,2806.98,SPX
20180724,2820.4,SPX
20180725,2846.07,SPX
20180726,2837.44,SPX
20180727,2818.82,SPX
20180730,2802.6,SPX
20180731,2816.29,SPX
20180801,2813.36,SPX
20180802,2827.22,SPX
