date,value,item,name,tenor
20170607,0.137298,varswap,STOXX50E,1m
20170608,0.132581,varswap,STOXX50E,1m
20170609,0.126637,varswap,STOXX50E,1m
20170612,0.13783,varswap,STOXX50E,1m
20170613,0.129069,varswap,STOXX50E,1m
20170614,0.135615,varswap,STOXX50E,1m
20170615,0.15063,varswap,STOXX50E,1m
20170616,0.141246,varswap,STOXX50E,1m
20170619,0.128218,varswap,STOXX50E,1m
20170620,0.135861,varswap,STOXX50E,1m
20170621,0.138552,varswap,STOXX50E,1m
20170622,0.139325,varswap,STOXX50E,1m
20170623,0.142106,varswap,STOXX50E,1m
20170626,0.133225,varswap,STOXX50E,1m
20170627,0.144564,varswap,STOXX50E,1m
20170628,0.146563,varswap,STOXX50E,1m
20170629,0.173483,varswap,STOXX50E,1m
20170630,0.172176,varswap,STOXX50E,1m
20170703,0.138521,varswap,STOXX50E,1m
20170704,0.140407,varswap,STOXX50E,1m
20170705,0.142758,varswap,STOXX50E,1m
20170706,0.151166,varswap,STOXX50E,1m
20170707,0.14979,varswap,STOXX50E,1m
20170710,0.139786,varswap,STOXX50E,1m
20170711,0.143958,varswap,STOXX50E,1m
20170712,0.133072,varswap,STOXX50E,1m
20170713,0.12762,varswap,STOXX50E,1m
20170714,0.125315,varswap,STOXX50E,1m
20170717,0.119771,varswap,STOXX50E,1m
20170718,0.133887,varswap,STOXX50E,1m
20170719,0.12921,varswap,STOXX50E,1m
20170720,0.128935,varswap,STOXX50E,1m
20170721,0.155055,varswap,STOXX50E,1m
20170724,0.145934,varswap,STOXX50E,1m
20170725,0.132847,varswap,STOXX50E,1m
20170726,0.12641,varswap,STOXX50E,1m
20170727,0.124512,varswap,STOXX50E,1m
20170728,0.136683,varswap,STOXX50E,1m
20170731,0.133929,varswap,STOXX50E,1m
20170801,0.129827,varswap,STOXX50E,1m
20170802,0.13416,varswap,STOXX50E,1m
20170803,0.133984,varswap,STOXX50E,1m
20170804,0.1293,varswap,STOXX50E,1m
20170807,0.126149,varswap,STOXX50E,1m
20170808,0.122826,varswap,STOXX50E,1m
20170809,0.145849,varswap,STOXX50E,1m
20170810,0.179293,varswap,STOXX50E,1m
20170811,0.196608,varswap,STOXX50E,1m
20170814,0.155755,varswap,STOXX50E,1m
20170815,0.146576,varswap,STOXX50E,1m
20170816,0.139836,varswap,STOXX50E,1m
20170817,0.153306,varswap,STOXX50E,1m
20170818,0.173035,varswap,STOXX50E,1m
20170821,0.181335,varswap,STOXX50E,1m
20170822,0.159742,varswap,STOXX50E,1m
20170823,0.160221,varswap,STOXX50E,1m
20170824,0.153231,varswap,STOXX50E,1m
20170825,0.153354,varswap,STOXX50E,1m
20170828,0.152968,varswap,STOXX50E,1m
20170829,0.171601,varswap,STOXX50E,1m
